id,user_id,num,goods_id,issue_id,is_advance,pay_time
1,953,1,1861,428,2,2021-10-30 20:16
2,621,1,2041,181,1,2021-10-30 20:48
3,2,1,852,2,2,2021-10-30 21:43
4,1196,1,1266,123,1,2021-10-31 0:45
5,1207,1,622,111,1,2021-10-31 0:52
6,1229,1,2036,243,1,2021-10-31 1:14
7,481,1,2036,243,1,2021-10-31 1:18
8,1227,1,1515,388,1,2021-10-31 1:18
9,711,1,2041,181,1,2021-10-31 11:44
10,1518,1,1862,51,1,2021-10-31 14:52
11,1601,1,2036,243,1,2021-10-31 15:31
12,1811,1,1926,445,1,2021-10-31 17:03
13,2003,1,622,111,1,2021-10-31 18:34
14,2003,1,2036,243,1,2021-10-31 18:36
15,2003,1,2041,181,1,2021-10-31 18:37
16,2003,1,1266,123,1,2021-10-31 18:46
17,2003,1,2055,191,1,2021-10-31 18:50
18,278,1,2036,243,1,2021-10-31 18:56
19,2092,1,2036,243,1,2021-10-31 19:13
20,1251,1,2041,181,1,2021-10-31 19:36
21,2167,1,2036,243,1,2021-10-31 19:58
22,2191,1,2036,243,1,2021-10-31 20:06
23,2259,1,2036,243,1,2021-10-31 21:11
24,1460,1,2041,181,1,2021-10-31 21:16
25,2333,1,2036,243,1,2021-10-31 21:18
26,2347,1,1926,445,1,2021-10-31 21:25
27,2382,1,1926,445,1,2021-10-31 21:48
28,843,1,2036,243,1,2021-10-31 22:08
29,843,1,2041,181,1,2021-10-31 22:09
30,466,1,2041,181,1,2021-10-31 22:13
31,2219,1,2041,181,1,2021-10-31 23:14
32,2623,1,1926,445,1,2021-10-31 23:48
33,977,1,2036,243,1,2021-10-31 23:52
34,977,1,2041,181,1,2021-10-31 23:52
35,977,1,1926,445,1,2021-10-31 23:53
36,2623,1,2036,243,1,2021-10-31 23:54
37,2623,1,622,111,1,2021-10-31 23:54
38,601,1,1926,445,1,2021-10-31 23:55
39,1102,1,2038,463,1,2021-10-31 23:57
40,576,1,1921,2,1,2021-11-1 0:00
41,963,1,1921,2,1,2021-11-1 0:00
42,711,1,1921,2,1,2021-11-1 0:00
43,1500,1,1921,2,1,2021-11-1 0:00
44,2607,1,1921,2,1,2021-11-1 0:00
45,275,1,1921,2,1,2021-11-1 0:00
46,414,1,620,510,2,2021-11-1 0:00
47,574,1,1921,2,1,2021-11-1 0:00
48,977,1,1921,2,1,2021-11-1 0:00
49,2630,1,1921,2,1,2021-11-1 0:00
50,1082,1,1921,2,1,2021-11-1 0:00
51,240,1,2096,487,2,2021-11-1 0:00
52,240,1,526,56,2,2021-11-1 0:00
53,240,1,1136,59,2,2021-11-1 0:00
54,240,1,2041,181,1,2021-11-1 0:00
55,240,1,2036,243,1,2021-11-1 0:00
56,240,1,2100,512,1,2021-11-1 0:00
57,240,1,611,98,2,2021-11-1 0:00
58,240,1,2105,490,1,2021-11-1 0:00
59,240,1,1864,217,2,2021-11-1 0:00
60,240,1,1835,266,2,2021-11-1 0:00
61,240,1,1097,331,2,2021-11-1 0:00
62,240,1,1926,445,1,2021-11-1 0:00
63,2358,1,1921,2,1,2021-11-1 0:01
64,1738,1,1921,2,1,2021-11-1 0:01
65,2518,1,1921,2,1,2021-11-1 0:01
66,893,1,1155,338,2,2021-11-1 0:01
67,630,1,1921,2,1,2021-11-1 0:01
68,414,1,2036,243,1,2021-11-1 0:01
69,2667,1,2038,463,1,2021-11-1 0:02
70,555,1,763,302,2,2021-11-1 0:02
71,1321,1,783,258,2,2021-11-1 0:02
72,1410,1,1921,2,1,2021-11-1 0:02
73,465,1,896,311,2,2021-11-1 0:02
74,893,1,1835,266,2,2021-11-1 0:02
75,414,1,1921,2,1,2021-11-1 0:03
76,2676,1,1921,2,1,2021-11-1 0:03
77,2674,1,1921,2,1,2021-11-1 0:04
78,2672,1,1921,2,1,2021-11-1 0:04
79,2355,1,1921,2,1,2021-11-1 0:04
80,2683,1,2038,463,1,2021-11-1 0:04
81,2623,1,1921,2,1,2021-11-1 0:04
82,893,1,966,310,2,2021-11-1 0:04
83,2672,1,2036,243,1,2021-11-1 0:04
84,1892,1,1650,296,2,2021-11-1 0:05
85,1892,1,1640,294,2,2021-11-1 0:05
86,1892,1,878,293,2,2021-11-1 0:05
87,2684,1,1921,2,1,2021-11-1 0:05
88,893,1,1463,207,2,2021-11-1 0:05
89,2661,1,2036,243,1,2021-11-1 0:05
90,70,1,1097,331,2,2021-11-1 0:05
91,893,1,1868,21,1,2021-11-1 0:06
92,2619,1,1825,126,2,2021-11-1 0:06
93,2619,1,1232,343,2,2021-11-1 0:06
94,2619,1,1069,329,2,2021-11-1 0:06
95,2619,1,761,302,2,2021-11-1 0:06
96,2619,1,692,190,2,2021-11-1 0:06
97,2619,1,1386,180,2,2021-11-1 0:06
98,2619,1,1811,71,2,2021-11-1 0:06
99,2619,1,1401,193,2,2021-11-1 0:06
100,2619,1,507,52,2,2021-11-1 0:06
101,2619,1,1201,94,2,2021-11-1 0:06
102,2619,1,1137,59,2,2021-11-1 0:06
103,2619,1,1465,207,2,2021-11-1 0:06
104,2619,1,1211,95,2,2021-11-1 0:06
105,2619,1,1642,295,2,2021-11-1 0:06
106,2619,1,824,289,2,2021-11-1 0:06
107,2619,1,591,78,2,2021-11-1 0:06
108,2117,1,499,37,2,2021-11-1 0:07
109,893,1,1864,217,2,2021-11-1 0:07
110,2627,1,1382,180,2,2021-11-1 0:07
111,2169,1,1346,158,2,2021-11-1 0:09
112,2169,1,783,258,2,2021-11-1 0:09
113,2169,1,1068,15,2,2021-11-1 0:09
114,2457,1,1392,185,2,2021-11-1 0:09
115,2457,1,1876,2,2,2021-11-1 0:09
116,2457,1,1921,2,1,2021-11-1 0:09
117,2457,1,1466,207,1,2021-11-1 0:09
118,2457,1,1875,207,1,2021-11-1 0:09
119,2457,1,1850,424,2,2021-11-1 0:09
120,893,1,1589,265,2,2021-11-1 0:09
121,71,1,2091,480,2,2021-11-1 0:09
122,893,1,1642,295,2,2021-11-1 0:10
123,587,1,2036,243,1,2021-11-1 0:10
124,1434,1,847,2,2,2021-11-1 0:10
125,1434,1,541,5,2,2021-11-1 0:10
126,1434,1,949,306,2,2021-11-1 0:10
127,1434,1,1868,21,1,2021-11-1 0:10
128,1434,1,1466,207,1,2021-11-1 0:10
129,1434,1,1136,59,2,2021-11-1 0:10
130,1434,1,1137,59,2,2021-11-1 0:10
131,1434,1,1394,185,2,2021-11-1 0:10
132,1434,1,1392,185,2,2021-11-1 0:10
133,1434,1,1398,186,2,2021-11-1 0:10
134,1434,1,958,308,2,2021-11-1 0:10
135,1434,1,1402,193,2,2021-11-1 0:10
136,1434,1,763,302,2,2021-11-1 0:10
137,1434,1,1860,429,1,2021-11-1 0:10
138,1434,1,907,303,2,2021-11-1 0:10
139,587,1,2041,181,1,2021-11-1 0:10
140,963,1,1327,106,2,2021-11-1 0:10
141,893,1,1159,339,2,2021-11-1 0:11
142,893,1,1197,94,2,2021-11-1 0:14
143,1382,1,783,258,2,2021-11-1 0:14
144,2697,1,1864,217,2,2021-11-1 0:14
145,2697,1,824,289,2,2021-11-1 0:14
146,2697,1,1921,2,1,2021-11-1 0:14
147,1382,1,928,311,2,2021-11-1 0:14
148,1382,1,1170,82,2,2021-11-1 0:15
149,893,1,763,302,2,2021-11-1 0:15
150,182,1,1392,185,2,2021-11-1 0:15
151,182,1,1394,185,2,2021-11-1 0:15
152,414,1,2041,181,1,2021-11-1 0:15
153,1382,1,1195,92,2,2021-11-1 0:15
154,2147,1,2041,181,1,2021-11-1 0:15
155,1382,1,887,268,2,2021-11-1 0:16
156,1382,1,567,45,2,2021-11-1 0:16
157,893,1,905,303,2,2021-11-1 0:16
158,2637,1,763,302,2,2021-11-1 0:17
159,822,1,1921,2,1,2021-11-1 0:17
160,2616,1,1921,2,1,2021-11-1 0:17
161,2737,1,1921,2,1,2021-11-1 0:17
162,555,1,783,258,2,2021-11-1 0:18
163,1434,1,1362,177,2,2021-11-1 0:18
164,1434,1,1362,177,2,2021-11-1 0:20
165,2747,1,1921,2,1,2021-11-1 0:20
166,711,1,928,311,2,2021-11-1 0:22
167,711,1,782,258,2,2021-11-1 0:22
168,711,1,1261,350,2,2021-11-1 0:22
169,711,1,1374,180,2,2021-11-1 0:22
170,2616,1,1926,445,1,2021-11-1 0:22
171,2737,1,1926,445,1,2021-11-1 0:23
172,711,1,2041,181,1,2021-11-1 0:23
173,1460,1,2041,181,1,2021-11-1 0:23
174,559,1,1266,123,1,2021-11-1 0:27
175,559,1,1868,21,1,2021-11-1 0:27
176,559,1,2038,463,1,2021-11-1 0:27
177,559,1,2041,181,1,2021-11-1 0:27
178,559,1,1155,338,2,2021-11-1 0:27
179,559,1,2036,243,1,2021-11-1 0:27
180,559,1,622,111,1,2021-11-1 0:27
181,559,1,1921,2,1,2021-11-1 0:27
182,2612,1,1351,161,2,2021-11-1 0:27
183,2612,1,1511,387,2,2021-11-1 0:27
184,2612,1,896,311,2,2021-11-1 0:27
185,2612,1,1465,207,2,2021-11-1 0:27
186,2612,1,1567,244,2,2021-11-1 0:27
187,2612,1,907,303,2,2021-11-1 0:27
188,2612,1,1106,27,2,2021-11-1 0:27
189,2612,1,591,78,2,2021-11-1 0:27
190,2164,1,763,302,2,2021-11-1 0:28
191,2766,1,1921,2,1,2021-11-1 0:28
192,2674,1,1466,207,1,2021-11-1 0:28
193,856,1,1466,207,1,2021-11-1 0:28
194,1382,1,1175,86,2,2021-11-1 0:29
195,698,1,1392,185,2,2021-11-1 0:31
196,698,1,962,309,2,2021-11-1 0:31
197,698,1,944,81,2,2021-11-1 0:31
198,2725,1,552,38,2,2021-11-1 0:36
199,2725,1,1921,2,1,2021-11-1 0:36
200,2725,1,2036,243,1,2021-11-1 0:36
201,1945,1,1926,445,1,2021-11-1 0:36
202,319,1,2091,480,2,2021-11-1 0:37
203,893,1,1107,27,2,2021-11-1 0:39
204,71,1,1854,113,1,2021-11-1 0:42
205,2730,1,2036,243,1,2021-11-1 0:44
206,2793,1,1872,435,2,2021-11-1 0:45
207,2799,1,2038,463,1,2021-11-1 0:53
208,15,1,2091,480,2,2021-11-1 0:58
209,1691,1,513,56,2,2021-11-1 1:01
210,1691,1,2041,181,1,2021-11-1 1:01
211,2813,1,2036,243,1,2021-11-1 1:03
212,2813,1,2041,181,1,2021-11-1 1:04
213,15,1,1921,2,1,2021-11-1 1:07
214,15,1,2041,181,1,2021-11-1 1:09
215,15,1,1266,123,1,2021-11-1 1:10
216,2423,1,1921,2,1,2021-11-1 1:10
217,15,1,1862,51,1,2021-11-1 1:11
218,15,1,2049,473,1,2021-11-1 1:11
219,2423,1,1386,180,2,2021-11-1 1:13
220,2423,1,2041,181,1,2021-11-1 1:14
221,2423,1,1137,59,2,2021-11-1 1:14
222,15,1,579,74,2,2021-11-1 1:15
223,672,1,968,310,2,2021-11-1 1:16
224,672,1,1171,341,2,2021-11-1 1:16
225,672,1,887,268,2,2021-11-1 1:16
226,672,1,1168,82,2,2021-11-1 1:16
227,672,1,1640,294,2,2021-11-1 1:16
228,672,1,1857,325,1,2021-11-1 1:16
229,672,1,1467,207,2,2021-11-1 1:16
230,672,1,1864,217,2,2021-11-1 1:16
231,672,1,1860,429,1,2021-11-1 1:16
232,1861,1,1835,266,2,2021-11-1 1:16
233,698,1,1392,185,2,2021-11-1 1:17
234,698,1,962,309,2,2021-11-1 1:17
235,698,1,944,81,2,2021-11-1 1:17
236,2740,1,1921,2,1,2021-11-1 1:21
237,1260,1,621,111,2,2021-11-1 1:21
238,2854,1,2036,243,1,2021-11-1 1:25
239,1460,1,2091,480,2,2021-11-1 1:27
240,2323,1,2038,463,1,2021-11-1 1:31
241,15,1,818,289,2,2021-11-1 1:31
242,15,1,1926,445,1,2021-11-1 1:32
243,156,1,928,311,2,2021-11-1 1:33
244,156,1,1868,21,1,2021-11-1 1:33
245,156,1,476,7,2,2021-11-1 1:33
246,156,1,1875,207,1,2021-11-1 1:33
247,156,1,1295,146,2,2021-11-1 1:33
248,2854,1,1926,445,1,2021-11-1 1:33
249,15,1,1860,429,1,2021-11-1 1:35
250,2875,1,1921,2,1,2021-11-1 1:36
251,15,1,2105,490,1,2021-11-1 1:41
252,2885,1,1921,2,1,2021-11-1 1:42
253,2329,1,503,45,2,2021-11-1 1:42
254,977,1,852,2,2,2021-11-1 1:45
255,15,1,2067,487,1,2021-11-1 1:49
256,544,1,1465,207,2,2021-11-1 1:50
257,450,1,591,78,2,2021-11-1 1:51
258,450,1,825,289,2,2021-11-1 1:53
259,98,1,1107,27,2,2021-11-1 1:54
260,98,1,839,2,2,2021-11-1 1:54
261,98,1,1376,180,2,2021-11-1 1:54
262,98,1,2036,243,1,2021-11-1 1:54
263,98,1,824,289,2,2021-11-1 1:54
264,98,1,503,45,2,2021-11-1 1:54
265,15,1,1097,331,2,2021-11-1 1:55
266,15,1,596,79,2,2021-11-1 1:56
267,1671,1,2036,243,1,2021-11-1 2:10
268,1503,1,1567,244,2,2021-11-1 2:16
269,1503,1,1835,266,2,2021-11-1 2:16
270,710,1,2041,181,1,2021-11-1 2:17
271,856,1,2038,463,1,2021-11-1 2:33
272,2948,1,878,293,2,2021-11-1 2:46
273,320,1,2055,191,1,2021-11-1 2:53
274,320,1,2038,463,1,2021-11-1 2:53
275,320,1,1926,445,1,2021-11-1 2:53
276,2960,1,1392,185,2,2021-11-1 3:04
277,2960,1,763,302,2,2021-11-1 3:04
278,22,1,2041,181,1,2021-11-1 3:06
279,2960,1,1364,177,2,2021-11-1 3:08
280,2958,1,2041,181,1,2021-11-1 3:10
281,2967,1,1854,113,1,2021-11-1 3:10
282,698,1,763,302,2,2021-11-1 3:30
283,2982,1,2041,181,1,2021-11-1 3:40
284,2982,1,1926,445,1,2021-11-1 3:51
285,2958,1,761,302,2,2021-11-1 4:01
286,2989,1,1232,343,2,2021-11-1 4:02
287,2989,1,1230,343,2,2021-11-1 4:02
288,2989,1,1170,82,2,2021-11-1 4:02
289,2989,1,1165,82,2,2021-11-1 4:02
290,2989,1,1868,21,1,2021-11-1 4:02
291,2989,1,1099,21,2,2021-11-1 4:02
292,2989,1,1472,207,2,2021-11-1 4:02
293,2989,1,1875,207,1,2021-11-1 4:02
294,2989,1,1394,185,2,2021-11-1 4:02
295,2989,1,1136,59,2,2021-11-1 4:02
296,2989,1,1137,59,2,2021-11-1 4:02
297,2989,1,1401,193,2,2021-11-1 4:02
298,2989,1,947,81,2,2021-11-1 4:02
299,2989,1,1197,94,2,2021-11-1 4:02
300,2989,1,1201,94,2,2021-11-1 4:02
301,2989,1,1835,266,2,2021-11-1 4:02
302,2989,1,1363,177,2,2021-11-1 4:02
303,2989,1,1364,177,2,2021-11-1 4:02
304,2989,1,1362,177,2,2021-11-1 4:02
305,2989,1,1107,27,2,2021-11-1 4:02
306,2989,1,591,78,2,2021-11-1 4:02
307,2989,1,1068,15,2,2021-11-1 4:02
308,2989,1,960,308,2,2021-11-1 4:02
309,2989,1,1278,355,2,2021-11-1 4:02
310,2989,1,852,2,2,2021-11-1 4:02
